"Client","Application","Version","Environment","DeploymentStatus","DeploymentDateTime","TriggeredBy"
"CLIENT_A","APP_ALPHA","1.0.0","UAT","Succeeded","2026-06-15 09:00:00 UTC","john.doe"
"CLIENT_A","APP_ALPHA","1.1.0","QA","Succeeded","2026-06-16 09:30:00 UTC","john.doe"
"CLIENT_A","APP_ALPHA","1.2.0","QA","Succeeded","2026-06-17 10:15:00 UTC","john.doe"
"CLIENT_A","APP_ALPHA","1.3.0","QA","Succeeded","2026-06-18 11:45:00 UTC","john.doe"
"CLIENT_A","APP_BETA","2.2.0","PROD","Succeeded","2026-06-17 09:00:00 UTC","john.doe"
"CLIENT_A","APP_BETA","2.3.0","UAT","Succeeded","2026-06-18 10:15:00 UTC","john.doe"
"CLIENT_A","APP_BETA","2.4.0","QA","Succeeded","2026-06-19 09:30:00 UTC","john.doe"
"CLIENT_A","APP_BETA","2.5.0","QA","Succeeded","2026-06-20 11:20:00 UTC","john.doe"
"CLIENT_A","APP_BETA","2.6.0","QA","Succeeded","2026-06-21 14:00:00 UTC","john.doe"
"CLIENT_A","APP_GAMMA","3.1.0","PROD","Succeeded","2026-06-17 15:20:00 UTC","john.doe"
"CLIENT_A","APP_GAMMA","3.2.0","UAT","Succeeded","2026-06-18 11:30:00 UTC","john.doe"
"CLIENT_A","APP_GAMMA","3.3.0","QA","Succeeded","2026-06-19 08:45:00 UTC","john.doe"
"CLIENT_A","APP_GAMMA","3.4.0","QA","Succeeded","2026-06-20 10:00:00 UTC","john.doe"
"CLIENT_A","APP_GAMMA","3.5.0","QA","Succeeded","2026-06-21 13:15:00 UTC","john.doe"
"CLIENT_B","APP_ALPHA","1.4.0","PROD","Succeeded","2026-06-16 08:00:00 UTC","mike.ross"
"CLIENT_B","APP_ALPHA","1.5.0","UAT","Succeeded","2026-06-17 14:45:00 UTC","mike.ross"
"CLIENT_B","APP_ALPHA","1.6.0","QA","Succeeded","2026-06-18 09:00:00 UTC","mike.ross"
"CLIENT_B","APP_ALPHA","1.7.0","QA","Succeeded","2026-06-19 11:15:00 UTC","mike.ross"
"CLIENT_B","APP_ALPHA","1.8.0","QA","Succeeded","2026-06-20 16:30:00 UTC","mike.ross"
"CLIENT_B","APP_BETA","2.0.0","PROD","Succeeded","2026-06-15 12:00:00 UTC","mike.ross"
"CLIENT_B","APP_BETA","2.0.0","UAT","Succeeded","2026-06-14 11:15:00 UTC","mike.ross"
"CLIENT_B","APP_BETA","2.1.0","UAT","Succeeded","2026-06-17 08:45:00 UTC","sarah.connor"
"CLIENT_B","APP_BETA","2.2.0","QA","Succeeded","2026-06-18 10:45:00 UTC","sarah.connor"
"CLIENT_B","APP_BETA","2.3.0","QA","Succeeded","2026-06-19 13:10:00 UTC","sarah.connor"
"CLIENT_B","APP_BETA","2.4.0","QA","Succeeded","2026-06-20 15:40:00 UTC","sarah.connor"
"CLIENT_C","APP_GAMMA","3.0.0","PROD","Succeeded","2026-06-17 09:30:00 UTC","david.kim"
"CLIENT_C","APP_GAMMA","3.0.0","UAT","Succeeded","2026-06-15 16:20:00 UTC","david.kim"
"CLIENT_C","APP_GAMMA","3.1.0","QA","Succeeded","2026-06-16 10:00:00 UTC","david.kim"
"CLIENT_C","APP_GAMMA","3.2.0","QA","Succeeded","2026-06-17 11:45:00 UTC","david.kim"
"CLIENT_C","APP_GAMMA","3.3.0","QA","Succeeded","2026-06-18 15:30:00 UTC","david.kim"
"CLIENT_D","APP_DELTA","4.0.0","PROD","Succeeded","2026-06-17 10:00:00 UTC","alice.wonder"
"CLIENT_D","APP_DELTA","4.0.0","UAT","Succeeded","2026-06-16 18:00:00 UTC","alice.wonder"
"CLIENT_D","APP_DELTA","4.1.0","QA","Succeeded","2026-06-18 09:15:00 UTC","alice.wonder"
"CLIENT_D","APP_DELTA","4.2.0","QA","Succeeded","2026-06-19 12:00:00 UTC","alice.wonder"
"CLIENT_D","APP_DELTA","4.3.0","QA","Succeeded","2026-06-20 14:45:00 UTC","alice.wonder"




